K,Call Option Price,Implied Volatility
70,30.8012,0.1775
71,29.8334,0.1767
72,28.8695,0.1758
73,27.9102,0.1750
74,26.9560,0.1742
75,26.0076,0.1734
76,25.0656,0.1726
77,24.1310,0.1718
78,23.2044,0.1710
79,22.2866,0.1703
80,21.3787,0.1695
81,20.4815,0.1688
82,19.5960,0.1681
83,18.7232,0.1674
84,17.8640,0.1667
85,17.0196,0.1660
86,16.1908,0.1653
87,15.3787,0.1646
88,14.5842,0.1640
89,13.8085,0.1633
90,13.0523,0.1627
91,12.3165,0.1621
92,11.6021,0.1614
93,10.9096,0.1608
94,10.2400,0.1602
95,9.5937,0.1596
96,8.9712,0.1591
97,8.3731,0.1585
98,7.7997,0.1579
99,7.2512,0.1573
100,6.7277,0.1568
101,6.2293,0.1562
102,5.7560,0.1557
103,5.3075,0.1552
104,4.8837,0.1547
105,4.4842,0.1541
106,4.1084,0.1536
107,3.7560,0.1531
108,3.4264,0.1526
109,3.1187,0.1522
110,2.8324,0.1517
111,2.5666,0.1512
112,2.3206,0.1507
113,2.0934,0.1503
114,1.8842,0.1498
115,1.6920,0.1494
116,1.5160,0.1489
117,1.3552,0.1485
118,1.2086,0.1481
119,1.0755,0.1477
120,0.9548,0.1472
121,0.8457,0.1468
122,0.7474,0.1464
123,0.6589,0.1460
124,0.5796,0.1456
125,0.5087,0.1452
126,0.4455,0.1449
127,0.3892,0.1445
128,0.3392,0.1441
129,0.2950,0.1437
130,0.2560,0.1434
